no;x;y2;y1
1;1.262954285;0;12
2;-0.326233361;1;1
3;1.329799263;0;7
4;1.272429321;1;7
5;0.414641434;0;4
6;-1.539950042;0;1
7;-0.928567035;0;0
8;-0.294720447;0;1
9;-0.005767173;0;4
10;2.404653389;4;39
11;0.763593461;0;7
12;-0.799009249;0;3
13;-1.147657009;1;2
14;-0.289461574;0;1
15;-0.299215118;0;2
16;-0.411510833;0;4
17;0.252223448;0;7
18;-0.891921127;2;1
19;0.435683299;1;3
20;-1.237538422;1;0
21;-0.224267885;1;1
22;0.377395646;1;4
23;0.133336361;0;6
24;0.80418951;1;6
25;-0.057106774;2;2
26;0.503607972;0;1
27;1.085769362;1;7
28;-0.69095384;0;3
29;-1.284599354;0;0
30;0.046726172;0;1
31;-0.235706556;0;2
32;-0.542888255;0;2
33;-0.433310317;0;1
34;-0.649471647;1;2
35;0.726750747;3;7
36;1.151911754;0;9
37;0.992160365;1;7
38;-0.429513109;0;1
39;1.238304101;2;8
40;-0.279346282;0;2
41;1.75790309;2;21
42;0.560746091;0;4
43;-0.452783973;0;1
44;-0.832043296;0;1
45;-1.166570547;0;0
46;-1.06559058;0;1
47;-1.563782051;0;2
48;1.156536997;1;11
49;0.832047129;3;10
50;-0.227328691;0;2
51;0.266137362;1;4
52;-0.376702719;0;2
53;2.441364629;7;24
54;-0.795339117;0;1
55;-0.054877474;0;5
56;0.250141323;0;3
57;0.618243294;1;4
58;-0.172623503;0;1
59;-2.223900274;0;1
60;-1.263614385;0;1
61;0.358728896;0;2
62;-0.011045478;1;0
63;-0.940649163;0;2
64;-0.115825322;0;3
65;-0.814968709;0;0
66;0.242263481;0;1
67;-1.425098395;1;0
68;0.365941123;0;3
69;0.248412649;0;2
70;0.065288182;0;2
71;0.019156392;0;1
72;0.257338377;1;2
73;-0.649010078;0;0
74;-0.119168762;0;2
75;0.6641357;0;7
76;1.100969102;1;3
77;0.143771481;1;3
78;-0.117753598;2;4
79;-0.912068367;0;1
80;-1.437586241;0;0
81;-0.797089525;0;0
82;1.254083106;2;8
83;0.772142186;0;3
84;-0.219515627;1;1
85;-0.424810283;0;1
86;-0.418980099;0;1
87;0.996986861;3;4
88;-0.275778029;0;6
89;1.256018817;0;8
90;0.64667439;0;5
91;1.299312303;2;11
92;-0.873262112;0;0
93;0.00837096;0;1
94;-0.880871723;0;0
95;0.596259017;1;8
96;0.119717641;0;4
97;-0.282173877;1;0
98;1.455988401;3;11
99;0.229019591;2;3
100;0.996543929;1;14
